group,canonical_code,english_case_mutable
core,D,True
core,E,True
core,N,True
core,M,True
core,MD,True
core,MID,True
core,S,True
core,A,True
core,P,True
core,AM,True
core,PM,True
core,D5,True
core,LD,True
core,DE,True
core,D/E,True
core,DB,True
core,NB,True
core,DN,True
core,D12,True
core,N12,True
off,O,True
off,OFF,True
off,Off,True
off,off,True
off,OF,True
off,X,True
off,NO,True
off,DO,True
off,RD,True
off,SD,True
off,AO,True
off,RO,True
off,WO,True
off,PO,True
off,ADO,True
off,H,True
off,PH,True
off,NA,True
off,-,False
off,—,False
leave,AL,True
leave,A/L,True
leave,ANL,True
leave,VAC,True
leave,V,True
leave,VL,True
leave,LV,True
leave,HL,True
leave,H+,True
leave,H⁺,True
leave,AMH,True
leave,PMH,True
leave,OH,True
leave,SH,True
leave,EH,True
leave,BH,True
leave,UN,True
leave,XA,True
leave,DH,True
leave,IH,True
leave,SL,True
leave,S/L,True
leave,ML,True
leave,MAT,True
leave,PL,True
leave,DL,True
leave,BL,True
leave,CL,True
leave,CCL,True
leave,UPL,True
leave,NPL,True
leave,UL,True
leave,EL,True
leave,STL,True
leave,MC,True
leave,BDO,True
leave,TOIL,True
leave,C,True
training,T,True
training,TR,True
training,TRN,True
training,EDU,True
training,ST,True
training,EXT,True
training,INT,True
training,MTG,True
training,CONF,True
training,SEM,True
training,WS,True
oncall,OC,True
oncall,ON,True
oncall,CALL,True
oncall,O/C,True
oncall,ONC,True
oncall,SB,True
oncall,STBY,True
role,IC,True
role,CH,True
role,CN,True
role,TL,True
role,OT,True
role,OR,True
role,OPD,True
role,ER,True
role,ED,True
role,ICU,True
role,PACU,True
role,CSSD,True
role,CB,True
role,HELP,True
role,SUP,True
role,HLP,True
role,F,True
role,f,True
korean,주,False
korean,중,False
korean,생,False
korean,생휴,False
korean,연,False
korean,연차,False
korean,연가,False
korean,휴,False
korean,휴가,False
korean,휴무,False
korean,비번,False
korean,반,False
korean,반차,False
korean,공,False
korean,공가,False
korean,교,False
korean,교육,False
korean,경,False
korean,경조,False
korean,경조사,False
korean,보,False
korean,보건,False
korean,보건휴가,False
korean,병,False
korean,병가,False
korean,출,False
korean,출산,False
korean,출산휴가,False
korean,육,False
korean,육아,False
korean,육아휴직,False
korean,특,False
korean,특휴,False
korean,특별휴가,False
korean,노,False
korean,노조,False
korean,노조휴가,False
korean,휴직,False
korean,출장,False
korean,회의,False
korean,당,False
korean,당직,False
korean,대기,False
korean,지원,False
korean,파견,False
