rank,surname,hanja,population,source_year,source_method,source_url
1,김,金,10689959,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
2,이,李,7306828,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
3,박,朴,4192074,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
4,최,崔,2333927,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
5,정,鄭,2151879,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
6,강,姜,1176847,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
7,조,趙,1055567,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
8,윤,尹,1020547,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
9,장,張,992721,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
10,임,林,823921,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
11,한,韓,773404,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
12,오,吳,763281,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
13,서,徐,751704,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
14,신,申,741081,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
15,권,權,705941,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
16,황,黃,697171,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
17,안,安,685639,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
18,송,宋,683494,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
19,전,全,559110,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
20,홍,洪,558853,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
21,유,柳,478990,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
22,고,高,471396,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
23,문,文,464040,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
24,양,梁,460600,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
25,손,孫,457303,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
26,배,裵,400641,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
27,조,曺,398260,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
28,백,白,381986,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
29,허,許,326770,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
30,유,劉,302511,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
31,남,南,275648,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
32,심,沈,271749,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
33,노,盧,256229,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
34,정,丁,243803,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
35,하,河,230481,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
36,곽,郭,203188,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
37,성,成,199124,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
38,차,車,194782,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
39,주,朱,194766,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
40,우,禹,194713,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
41,구,具,193080,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
42,신,辛,192877,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
43,임,任,191261,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
44,전,田,186469,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
45,민,閔,171740,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
46,유,兪,167927,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
47,류,柳,163703,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
48,나,羅,160946,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
49,진,陳,157599,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
50,지,池,153491,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
51,엄,嚴,144425,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
52,채,蔡,131557,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
53,원,元,129522,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
54,천,千,121780,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
55,방,方,94831,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
56,공,孔,91869,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
57,강,康,91625,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
58,현,玄,88824,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
59,함,咸,80659,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
60,변,卞,78156,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
61,염,廉,69387,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
62,양,楊,69101,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
63,변,邊,60633,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
64,여,呂,60522,2015,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
