surname,population,best_rank,hanja_variants,source_method,source_url
김,10689959,1,金,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
이,7306828,2,李,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
박,4192074,3,朴,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
최,2333927,4,崔,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
정,2395682,5,鄭|丁,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
강,1268472,6,姜|康,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
조,1453827,7,趙|曺,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
윤,1020547,8,尹,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
장,1014229,9,張|蔣,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
임,1015182,10,林|任,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
한,773404,11,韓,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
오,763281,12,吳,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
서,751704,13,徐,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
신,985823,14,申|辛|愼,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
권,705941,15,權,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
황,697171,16,黃,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
안,685639,17,安,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
송,683494,18,宋,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
전,745579,19,全|田,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
홍,558853,20,洪,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
유,949428,21,柳|劉|兪,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
고,471396,22,高,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
문,464040,23,文,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
양,529701,24,梁|楊,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
손,457303,25,孫,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
배,400641,26,裵,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
백,381986,28,白,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
허,326770,29,許,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
남,275648,31,南,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php
